ZCTA5CE20,Parameter,Value
01022,OZONE,33.46153846153846
01082,OZONE,43.84615384615385
01301,OZONE,25.846153846153847
01569,OZONE,25.307692307692307
01602,OZONE,38.23076923076923
01824,OZONE,17.23076923076923
01832,OZONE,31.307692307692307
01863,OZONE,26.76923076923077
02021,OZONE,41.23076923076923
02119,OZONE,30.0
02302,OZONE,27.384615384615383
02724,OZONE,36.53846153846154
02817,OZONE,26.384615384615383
02879,OZONE,36.69230769230769
02882,OZONE,39.92307692307692
02916,OZONE,27.53846153846154
03053,OZONE,34.30769230769231
03062,OZONE,24.0
03431,OZONE,18.46153846153846
03458,OZONE,45.0
06076,OZONE,42.69230769230769
06108,OZONE,19.076923076923077
06259,OZONE,42.92307692307692
06340,OZONE,31.53846153846154
06443,OZONE,31.46153846153846
06457,OZONE,24.692307692307693
06513,OZONE,19.307692307692307
11901,OZONE,36.92307692307692
